Start Date,End Date,Concert Name,Bands,Venue,Location
06/18/2014,06/22/2014,NXNE 2014,"Juicy J / Spoon / Mac DeMarco / St. Vincent / Danny Brown / Run the Jewels / Rhye / Tune-Yards / Alvvays / Low / Spiritualized / Kelela / Swans / Fuck Buttons / Goat / Metz / Speedy Ortiz / Eagulls / Omar Souleyman / Mas Ysa / Trembling Bells / OBESØN / Devon Sproule / Marker Starling / Beliefs / The Pizza Underground / Bernice / Slow Down, Molasses / John Southworth / The Van Allen Belt / Freeze-tag / Sleigh Bells / A$AP Ferg / Oneohtrix Point Never / Tim Hecker / Courtney Barnett / Glasser / Ratking / Perfect Pussy / Guerilla Toss / Le1f / Mutual Benefit / Ryan Hemsworth / The Barr Brothers / Small Black / Odonis Odonis / Swearin' / Dan Croll / DJ Jonathan Toubin / Astro / Snowmine / Until The Ribbon Breaks / Laurel / Calvin Love / Juan Wauters / Hunters / Saint Rich / Death Hymn Number 9 / Kalle Mattson",NXNE,"Toronto, Ontario, Canada"
06/13/2014,,,Saintseneca,Shank Hall,"Milwaukee, Wisconsin, United States"
12/07/2013,,"",Daniel and the Lion,Cranky Pat's,"Appleton, Wisconsin, United States"
10/20/2013,,,Little Green Cars / Foy Vance,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
09/28/2013,,,JR JR / Save The Clocktower / DJ the Real Jaguar,High Noon Saloon,"Madison, Wisconsin, United States"
09/27/2013,,,Shovels & Rope / Shakey Graves,High Noon Saloon,"Madison, Wisconsin, United States"
08/10/2013,,Mile Of Music,"""Mile Of Music"" / Justin Townes Earle / The Candles / Those Darlins / Cat Clyde",Downtown Appleton,"Appleton, Wisconsin, United States"
06/28/2013,,Summerfest 2013,Phox / Daniel and the Lion,Summerfest,"Milwaukee, Wisconsin, United States"
06/07/2013,06/08/2013,Jubilee Music and Arts Festival 2013,Black Lips / The Drums / Cayucas / DWNTWN / Data Romance / Fool's Gold / Calvin Love / Kitten / Riff Raff,590 S. Santa Fe St.,"Los Angeles, California, United States"
02/08/2013,,,The Vaccines / San Cisco,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
11/11/2012,,"",Dead Horses,Perry Hall,"1001 Elmwood Ave, Oshkosh, WI 54901"
10/06/2012,,"",Daniel and the Lion,Beckets Restaurant,"2 Jackson St, Oshkosh, WI 54901"
09/23/2012,,,The Lumineers,The Riverside Theater,"Milwaukee, Wisconsin, United States"
09/21/2012,,"",Pearl and the Beard / Anna Vogelzang / Phox,Majestic Theatre,"Madison, Wisconsin, United States"
08/02/2012,,,Sharon Van Etten / Yellow Ostrich / Tennis,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
06/28/2012,,,Conveyor,Mercury Lounge,"New York, New York, United States"
04/15/2012,,"",Pearl and the Beard,Cafe Carpe,"Fort Atkinson, Wisconsin, United States"
03/24/2012,,,Andrew Bird,The Riverside Theater,"Milwaukee, Wisconsin, United States"
11/18/2011,,"",The Avett Brothers,The Riverside Theater,"Milwaukee, Wisconsin, United States"
07/26/2011,,,Blitzen Trapper / Ages and Ages,Slowdown,"Omaha, Nebraska, United States"
07/11/2010,,"",The Avett Brothers / Elephant Revival,Lake Superior Big Top Chautauqua,"Bayfield, WI"
03/06/2010,,,The Low Anthem / The Avett Brothers,The Riverside Theater,"Milwaukee, Wisconsin, United States"
02/19/2010,,,Diane Schuur,Fox Cities Performing Arts Center,"Appleton, Wisconsin, United States"
